country,date,value
Finland,2019/06,1.1
Finland,2019/07,1
Finland,2019/08,1.2
Finland,2019/09,1
Finland,2019/10,0.9
Finland,2019/11,0.8
Finland,2019/12,1.1
Finland,2020/01,1.2
Finland,2020/02,1.1
Finland,2020/03,0.9
Finland,2020/04,-0.3
Finland,2020/05,-0.1
Finland,2020/06,0.1
Finland,2020/07,0.7
Finland,2020/08,0.3
Finland,2020/09,0.3
Finland,2020/10,0.2
Finland,2020/11,0.2
Finland,2020/12,0.2
Finland,2021/01,1
Finland,2021/02,0.9
Finland,2021/03,1.4
Finland,2021/04,2.2
Finland,2021/05,2.3
Finland,2021/06,1.9
Finland,2021/07,1.8
Finland,2021/08,1.8
Finland,2021/09,2.1
Finland,2021/10,2.8
Sweden,2019/01,2
Sweden,2019/02,1.9
Sweden,2019/03,1.8
Sweden,2019/04,2.1
Sweden,2019/05,2.1
Sweden,2019/06,1.6
Sweden,2019/07,1.5
Sweden,2019/08,1.3
Sweden,2019/09,1.3
Sweden,2019/10,1.6
Sweden,2019/11,1.8
Sweden,2019/12,1.7
Sweden,2020/01,1.5
Sweden,2020/02,1.3
Sweden,2020/03,0.8
Sweden,2020/04,-0.2
Sweden,2020/05,0.1
Sweden,2020/06,0.9
Sweden,2020/07,0.7
Sweden,2020/08,1
Sweden,2020/09,0.6
Sweden,2020/10,0.4
Sweden,2020/11,0.2
Sweden,2020/12,0.6
Sweden,2021/01,1.9
Sweden,2021/02,1.8
Sweden,2021/03,2.1
Sweden,2021/04,2.8
Sweden,2021/05,2.4
Sweden,2021/06,1.8
Sweden,2021/07,1.8
Sweden,2021/08,2.5
Sweden,2021/09,3
Sweden,2021/10,3.3
Norway,2019/01,3.6
Norway,2019/02,3.4
Norway,2019/03,3.2
Norway,2019/04,3.1
Norway,2019/05,2.9
Norway,2019/06,2.1
Norway,2019/07,1.8
Norway,2019/08,1.5
Norway,2019/09,1.5
Norway,2019/10,1.7
Norway,2019/11,1.5
Norway,2019/12,1.2
Norway,2020/01,1.7
Norway,2020/02,0.7
Norway,2020/03,0.5
Norway,2020/04,0.6
Norway,2020/05,1.1
Norway,2020/06,1.3
Norway,2020/07,1.4
Norway,2020/08,1.6
Norway,2020/09,1.4
Norway,2020/10,1.7
Norway,2020/11,0.4
Norway,2020/12,1.4
Norway,2021/01,2.7
Norway,2021/02,3.6
Norway,2021/03,3.4
Norway,2021/04,3.2
Norway,2021/05,2.8
Norway,2021/06,3
Norway,2021/07,3.3
Norway,2021/08,3.8
Norway,2021/09,4.8
Norway,2021/10,4
Switzerland,2019/01,0.7
Switzerland,2019/02,0.7
Switzerland,2019/03,0.7
Switzerland,2019/04,1.1
Switzerland,2019/05,0.5
Switzerland,2019/06,0.7
Switzerland,2019/07,0.4
Switzerland,2019/08,0.5
Switzerland,2019/09,0.1
Switzerland,2019/10,-0.3
Switzerland,2019/11,-0.3
Switzerland,2019/12,-0.1
Switzerland,2020/01,0.2
Switzerland,2020/02,-0.2
Switzerland,2020/03,-0.4
Switzerland,2020/04,-1
Switzerland,2020/05,-1
Switzerland,2020/06,-1.3
Switzerland,2020/07,-1.2
Switzerland,2020/08,-1.4
Switzerland,2020/09,-1.1
Switzerland,2020/10,-0.9
Switzerland,2020/11,-0.8
Switzerland,2020/12,-1
Switzerland,2021/01,-0.6
Switzerland,2021/02,-0.4
Switzerland,2021/03,-0.2
Switzerland,2021/04,-0.1
Switzerland,2021/05,0.3
Switzerland,2021/06,0.5
Switzerland,2021/07,0.5
Switzerland,2021/08,0.8
Switzerland,2021/09,0.8
Switzerland,2021/10,1.3
United Kingdom,2019/01,1.8
United Kingdom,2019/02,1.9
United Kingdom,2019/03,1.9
United Kingdom,2019/04,2.1
United Kingdom,2019/05,2
United Kingdom,2019/06,2
United Kingdom,2019/07,2.1
United Kingdom,2019/08,1.7
United Kingdom,2019/09,1.7
United Kingdom,2019/10,1.5
United Kingdom,2019/11,1.5
United Kingdom,2019/12,1.3
