date,tenedor,value
2005/03,EMPRESAS NO FINANCIERAS,6855
2005/03,PERSONAS FÍSICAS,1674
2005/03,ADMINISTRACIONES PÚBLICAS,16012
2005/03,NO RESIDENTES,124134
2005/03,TOTAL,244905
2005/04,ENTIDADES DE CREDITO,60388
2005/04,BANCO DE ESPAÑA,5538
2005/04,ENTIDADES DE SEGUROS,16222
2005/04,FONDOS DE PENSIONES,4195
2005/04,FONDOS DE INVERSION,5851
2005/04,OTRAS INSTITUCIONES FINANCIERAS,2292
2005/04,EMPRESAS NO FINANCIERAS,7172
2005/04,PERSONAS FÍSICAS,1689
2005/04,ADMINISTRACIONES PÚBLICAS,17628
2005/04,NO RESIDENTES,125215
2005/04,TOTAL,246189
2005/05,ENTIDADES DE CREDITO,60504
2005/05,BANCO DE ESPAÑA,6156
2005/05,ENTIDADES DE SEGUROS,16262
2005/05,FONDOS DE PENSIONES,4100
2005/05,FONDOS DE INVERSION,5891
2005/05,OTRAS INSTITUCIONES FINANCIERAS,2312
2005/05,EMPRESAS NO FINANCIERAS,7332
2005/05,PERSONAS FÍSICAS,1687
2005/05,ADMINISTRACIONES PÚBLICAS,17620
2005/05,NO RESIDENTES,127401
2005/05,TOTAL,249274
2005/06,ENTIDADES DE CREDITO,62935
2005/06,BANCO DE ESPAÑA,6452
2005/06,ENTIDADES DE SEGUROS,16118
2005/06,FONDOS DE PENSIONES,4020
2005/06,FONDOS DE INVERSION,5668
2005/06,OTRAS INSTITUCIONES FINANCIERAS,2302
2005/06,EMPRESAS NO FINANCIERAS,7814
2005/06,PERSONAS FÍSICAS,1882
2005/06,ADMINISTRACIONES PÚBLICAS,17599
2005/06,NO RESIDENTES,127167
2005/06,TOTAL,251958
2005/07,ENTIDADES DE CREDITO,65722
2005/07,BANCO DE ESPAÑA,6542
2005/07,ENTIDADES DE SEGUROS,16275
2005/07,FONDOS DE PENSIONES,4018
2005/07,FONDOS DE INVERSION,5884
2005/07,OTRAS INSTITUCIONES FINANCIERAS,2346
2005/07,EMPRESAS NO FINANCIERAS,8247
2005/07,PERSONAS FÍSICAS,1893
2005/07,ADMINISTRACIONES PÚBLICAS,17847
2005/07,NO RESIDENTES,124833
2005/07,TOTAL,253607
2005/08,ENTIDADES DE CREDITO,61712
2005/08,BANCO DE ESPAÑA,6999
2005/08,ENTIDADES DE SEGUROS,15963
2005/08,FONDOS DE PENSIONES,3939
2005/08,FONDOS DE INVERSION,5789
2005/08,OTRAS INSTITUCIONES FINANCIERAS,2312
2005/08,EMPRESAS NO FINANCIERAS,8115
2005/08,PERSONAS FÍSICAS,1805
2005/08,ADMINISTRACIONES PÚBLICAS,17900
2005/08,NO RESIDENTES,120745
2005/08,TOTAL,245278
2005/09,ENTIDADES DE CREDITO,64308
2005/09,BANCO DE ESPAÑA,6999
2005/09,ENTIDADES DE SEGUROS,15964
2005/09,FONDOS DE PENSIONES,3849
2005/09,FONDOS DE INVERSION,5920
2005/09,OTRAS INSTITUCIONES FINANCIERAS,2370
2005/09,EMPRESAS NO FINANCIERAS,8137
2005/09,PERSONAS FÍSICAS,1818
2005/09,ADMINISTRACIONES PÚBLICAS,17899
2005/09,NO RESIDENTES,122792
2005/09,TOTAL,250057
2005/10,ENTIDADES DE CREDITO,65115
2005/10,BANCO DE ESPAÑA,5117
2005/10,ENTIDADES DE SEGUROS,16174
2005/10,FONDOS DE PENSIONES,4245
2005/10,FONDOS DE INVERSION,6183
2005/10,OTRAS INSTITUCIONES FINANCIERAS,2500
2005/10,EMPRESAS NO FINANCIERAS,8329
2005/10,PERSONAS FÍSICAS,1338
2005/10,ADMINISTRACIONES PÚBLICAS,17919
2005/10,NO RESIDENTES,122777
2005/10,TOTAL,249697
2005/11,ENTIDADES DE CREDITO,63662
2005/11,BANCO DE ESPAÑA,6568
2005/11,ENTIDADES DE SEGUROS,16312
2005/11,FONDOS DE PENSIONES,4406
2005/11,FONDOS DE INVERSION,6107
2005/11,OTRAS INSTITUCIONES FINANCIERAS,2518
2005/11,EMPRESAS NO FINANCIERAS,8477
2005/11,PERSONAS FÍSICAS,1820
2005/11,ADMINISTRACIONES PÚBLICAS,18304
2005/11,NO RESIDENTES,124072
2005/11,TOTAL,252247
2005/12,ENTIDADES DE CREDITO,62076
2005/12,BANCO DE ESPAÑA,6817
2005/12,ENTIDADES DE SEGUROS,16550
2005/12,FONDOS DE PENSIONES,4349
2005/12,FONDOS DE INVERSION,6142
2005/12,OTRAS INSTITUCIONES FINANCIERAS,2575
2005/12,EMPRESAS NO FINANCIERAS,8360
2005/12,PERSONAS FÍSICAS,1822
2005/12,ADMINISTRACIONES PÚBLICAS,18315
2005/12,NO RESIDENTES,126124
2005/12,TOTAL,253130
2006/01,ENTIDADES DE CREDITO,57624
2006/01,BANCO DE ESPAÑA,5759
2006/01,ENTIDADES DE SEGUROS,15939
2006/01,FONDOS DE PENSIONES,4054
2006/01,FONDOS DE INVERSION,5895
2006/01,OTRAS INSTITUCIONES FINANCIERAS,2531
2006/01,EMPRESAS NO FINANCIERAS,8115
2006/01,PERSONAS FÍSICAS,1696
2006/01,ADMINISTRACIONES PÚBLICAS,17296
2006/01,NO RESIDENTES,127259
2006/01,TOTAL,246168
2006/02,ENTIDADES DE CREDITO,57373
2006/02,BANCO DE ESPAÑA,6059
2006/02,ENTIDADES DE SEGUROS,16227
2006/02,FONDOS DE PENSIONES,4192
2006/02,FONDOS DE INVERSION,6035
2006/02,OTRAS INSTITUCIONES FINANCIERAS,2922
2006/02,EMPRESAS NO FINANCIERAS,8061
2006/02,PERSONAS FÍSICAS,1715
2006/02,ADMINISTRACIONES PÚBLICAS,17304
2006/02,NO RESIDENTES,129452
2006/02,TOTAL,249340
2006/03,ENTIDADES DE CREDITO,58683
2006/03,BANCO DE ESPAÑA,6059
2006/03,ENTIDADES DE SEGUROS,16347
2006/03,FONDOS DE PENSIONES,3933
2006/03,FONDOS DE INVERSION,5786
2006/03,OTRAS INSTITUCIONES FINANCIERAS,2957
2006/03,EMPRESAS NO FINANCIERAS,8246
2006/03,PERSONAS FÍSICAS,1726
2006/03,ADMINISTRACIONES PÚBLICAS,18225
2006/03,NO RESIDENTES,129693
2006/03,TOTAL,251656
2006/04,ENTIDADES DE CREDITO,57587
2006/04,BANCO DE ESPAÑA,6302
2006/04,ENTIDADES DE SEGUROS,16466
2006/04,FONDOS DE PENSIONES,3891
2006/04,FONDOS DE INVERSION,5742
2006/04,OTRAS INSTITUCIONES FINANCIERAS,2924
2006/04,EMPRESAS NO FINANCIERAS,8323
2006/04,PERSONAS FÍSICAS,1765
2006/04,ADMINISTRACIONES PÚBLICAS,18211
2006/04,NO RESIDENTES,131447
2006/04,TOTAL,252657
2006/05,ENTIDADES DE CREDITO,55742
2006/05,BANCO DE ESPAÑA,6025
2006/05,ENTIDADES DE SEGUROS,16185
2006/05,FONDOS DE PENSIONES,3942
2006/05,FONDOS DE INVERSION,5466
2006/05,OTRAS INSTITUCIONES FINANCIERAS,2947
2006/05,EMPRESAS NO FINANCIERAS,8414
2006/05,PERSONAS FÍSICAS,1662
2006/05,ADMINISTRACIONES PÚBLICAS,18194
2006/05,NO RESIDENTES,129775
2006/05,TOTAL,248351
2006/06,ENTIDADES DE CREDITO,54349
