DATAFLOW,LAST UPDATE,freq,projection,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2100,56.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2019,21.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2020,22.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2030,27.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2040,33.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2050,41.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2060,45.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2070,47.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2080,51.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2090,53.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IE,2100,54.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2019,21.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2020,21.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2030,26.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2040,31.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2050,35.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2060,41.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2070,44.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2080,47.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2090,47.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IS,2100,49.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2019,35.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2020,36.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2030,43.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2040,56.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2050,61.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2060,60.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2070,60.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2080,63.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2090,63.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,IT,2100,62.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2019,26.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2020,27.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2030,39.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2040,48.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2050,51.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2060,53.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2070,53.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,LI,2080,53.3,
